vineyard_id,name,owner,appelation,country,region
124,Cavas Hill,Michael Schachner,1887 Rosado,Spain,Cava
125,Antoine Moltès & Fils,Anne Krebiehl MW,Tradition,France,Alsace
126,Pezzi King,Virginie Boone,Serracino Reserve,US,Dry Creek Valley
127,Chambers Rosewood Vineyards,Joe Czerwinski,Rare,Australia,Rutherglen
128,Chambers Rosewood Vineyards,Joe Czerwinski,Rare,Australia,Rutherglen
129,Chambers Rosewood Vineyards,Joe Czerwinski,Grand,Australia,Rutherglen
130,Torbreck,Joe Czerwinski,RunRig,Australia,Barossa
131,Cavallotto,Kerin O’Keefe,Vignolo Riserva,Italy,Barolo
132,Rochioli,Virginie Boone,South River,US,Russian River Valley
133,Louis Latour,Roger Voss,Le Montrachet,France,Montrachet
134,Rochioli,Virginie Boone,Sweetwater,US,Russian River Valley
135,Jasper Hill,Joe Czerwinski,Georgia's Paddock,Australia,Heathcote
136,Château de la Tour,Roger Voss,Vieilles Vignes,France,Clos de Vougeot
137,Philippe Colin,Roger Voss,Les Chenevottes Premier Cru,France,Chassagne-Montrachet
138,Torbreck,Joe Czerwinski,Descendant,Australia,Barossa Valley
139,Bel Colle,Kerin O’Keefe,Simposio,Italy,Barolo
140,J. Davies,Virginie Boone,Jamie,US,Diamond Mountain Dis
141,Winderlea,Paul Gregutt,Weber Vineyard,US,Dundee Hills
142,Wakefield,Joe Czerwinski,St. Andrews Single Vineyard Release,Australia,Clare Valley
143,Cantina Terlano,Joe Czerwinski,Vorberg,Italy,Alto Adige
144,Elena Walch,Roger Voss,Castel Ringberg,Italy,Alto Adige
145,Gini,Roger Voss,Classico,Italy,Soave
146,Borgo Conventi,Roger Voss,I Fiori del Borgo,Italy,Collio
147,Volpe Pasini,Roger Voss,Zuc de Volpe,Italy,Colli Orientali del 
148,La Vis,Joe Czerwinski,Bianco dei Sorni,Italy,Trentino
149,Fratelli Zeni,Joe Czerwinski,Vigne Alte,Italy,Bianco di Custoza
150,Tommasi,Joe Czerwinski,Vigneto Santa Cecilia,Italy,Valdadige
151,San Michele Eppan,Roger Voss,Sanct Valentin,Italy,Alto Adige
152,Kynsi,Roger Voss,Paragon Vineyard,US,Edna Valley
153,Cantina Terlano,Joe Czerwinski,Terlano Classico,Italy,Alto Adige
154,Conti Formentini,Roger Voss,Rylint,Italy,Collio
155,Jacquart,Roger Voss,Brut Mosaïque,France,Champagne
156,McGregor,Susan Kostrzewa,Dry,US,Finger Lakes
157,Guardian,Sean P. Sullivan,Confidential Source,US,Columbia Valley (WA)
158,Kerloo,Sean P. Sullivan,Blue Mountain Vineyard,US,Walla Walla Valley (
159,Las Positas,Jim Gordon,Verdigris,US,California
160,Lieb,Anna Lee C. Iijima,Bridge Lane,US,New York
161,Luberri,Michael Schachner,Seis,Spain,Rioja
162,Macari,Anna Lee C. Iijima,Cuvée Gabriella Brut Rosé,US,North Fork of Long I
163,Milbrandt,Sean P. Sullivan,The Estates Clifton Hill Vineyard,US,Wahluke Slope
164,Ojai,Matt Kettmann,McGinley Vineyard,US,Santa Ynez Valley
165,ONX,Matt Kettmann,Indie,US,Templeton Gap Distri
166,Pomum,Sean P. Sullivan,Upland Vineyard,US,Snipes Mountain
167,Prospect 772,Jim Gordon,Stepping Stones,US,Santa Barbara County
168,Revello Fratelli,Kerin O’Keefe,Rocche dell'Annunziata,Italy,Barolo
169,Tenuta La Marchesa,Kerin O’Keefe,Gold Label,Italy,Gavi
170,Trione,Virginie Boone,Henry's Blend,US,Alexander Valley
171,Vinos de Arganza,Michael Schachner,Século,Spain,Bierzo
172,Vinos de Arganza,Michael Schachner,Marqués de Montejos Selección,Spain,Vino de la Tierra de
173,Wölffer,Anna Lee C. Iijima,Caya,US,Long Island
174,Dunbar,Virginie Boone,Estate Grown,US,Sonoma Valley
175,Fattorie Romeo del Castello,Kerin O’Keefe,Vigorosa Rosato,Italy,Etna
176,Gadais Père et Fils,Roger Voss,Domaine de la Vieille Cure Sur Lie,France,Muscadet Sèvre et Ma
177,André Brunel,Joe Czerwinski,Domaine de la Becassonne,France,Côtes du Rhône
178,Majolini,Kerin O’Keefe,Pas Dosé Aligi Sassu,Italy,Franciacorta
179,Montaudon,Roger Voss,Classe M,France,Champagne
180,Montemercurio,Kerin O’Keefe,Messaggero,Italy,Vino Nobile di Monte
181,Patrick Javillier,Roger Voss,Les Tillets,France,Meursault
182,Philippe Fontaine,Roger Voss,Brut Prestige,France,Champagne
183,Pillitteri,Sean P. Sullivan,Reserve Icewine,Canada,Niagara-On-The-Lake
184,Roederer Estate,Virginie Boone,Brut,US,Anderson Valley
185,Bellavista,Kerin O’Keefe,Gran Cuvée Pas Operé,Italy,Franciacorta
186,Chanoine,Roger Voss,Tzarina No 1 Brut,France,Champagne
187,Chehalem,Paul Gregutt,Ridgecrest Vineyards,US,Ribbon Ridge
188,Chehalem,Paul Gregutt,Stoller Vineyards,US,Dundee Hills
189,Henri de Villamont,Roger Voss,Blagny Premier Cru,France,Meursault
190,Vollereaux,Roger Voss,Cuvée Marguerite Brut,France,Champagne
191,Valentina Cubi,Kerin O’Keefe,Morar,Italy,Amarone della Valpol
192,Deutz,Roger Voss,Blanc de Blancs Brut,France,Champagne
193,Domaine Serene,Paul Gregutt,Evenstad Reserve,US,Willamette Valley
194,H. Blin,Roger Voss,Édition Limitée Extra Brut,France,Champagne
195,Henri de Villamont,Roger Voss,Les Chatelots Premier Cru,France,Chambolle-Musigny
196,Henri de Villamont,Roger Voss,Les Feusselottes Premier Cru,France,Chambolle-Musigny
197,Jeaunaux-Robin,Roger Voss,Les Grands Nots Millesimé Brut,France,Champagne
198,Dampierre,Roger Voss,Grand Cru Family Reserve Brut,France,Champagne
199,Sparkman,Paul Gregutt,Stella Mae,US,Red Mountain
200,V&N; Cellars,Michael Schachner,Reserva Brut,Spain,Cava
201,Lava Cap,Virginie Boone,Battonage,US,El Dorado
202,Loess,Michael Schachner,Collection Blanco,Spain,Rueda
203,MICA Cellars,Virginie Boone,Babcock Vineyard,US,Suisun Valley
204,Domaine du Grand Cros,Roger Voss,L'Esprit de Provence,France,Côtes de Provence
205,El Coto,Michael Schachner,Rosado,Spain,Rioja
206,Fenestra,Virginie Boone,Silvaspoons Vineyard,US,Lodi
207,Alain Jaume et Fils,Joe Czerwinski,Réserve Grand Veneur,France,Côtes du Rhône
208,Camaraderie,Paul Gregutt,Clifton Vineyard,US,Wahluke Slope
209,Beringer,Virginie Boone,Quantum,US,Napa Valley
210,Big Basin,Matt Kettmann,Coastview Vineyard,US,Monterey County
211,Boude Baudin,Roger Voss,Cuvée St Clément,France,Champagne
212,Boude Baudin,Roger Voss,B. Zéro Brut Dosage,France,Champagne
213,Conn Creek,Virginie Boone,El Adobo Ranch Vineyard,US,Chiles Valley
214,D.R. Stephens,Virginie Boone,Silver Eagle Vineyard,US,Sonoma Coast
215,Davis Family,Virginie Boone,Soul Patch Estate Grown,US,Russian River Valley
216,Davis Family,Virginie Boone,Starr Ridge Vineyard,US,Russian River Valley
217,Domaine Jeannin-Naltet,Roger Voss,Le Clos l'Evêque Premier Cru,France,Mercurey
218,Prospect 772,Jim Gordon,The Brat,US,Calaveras County
219,Qupé,Matt Kettmann,Doux Sawyer Lindquist Vineyard,US,Edna Valley
220,Qupé,Matt Kettmann,Sawyer Lindquist Vineyard,US,Edna Valley
221,Rex Hill,Paul Gregutt,Sims Vineyard,US,Willamette Valley
222,Ruby,Paul Gregutt,Steve's Reserve,US,Chehalem Mountains
223,Structure,Sean P. Sullivan,Wallula,US,Horse Heaven Hills
224,Testarossa,Matt Kettmann,Rincon Vineyard,US,Arroyo Grande Valley
225,Tumwater,Paul Gregutt,Prince Hill Vineyard Reserve,US,Dundee Hills
226,Jeaunaux-Robin,Roger Voss,Brut Zéro Sélection,France,Champagne
227,Joseph Jewell,Virginie Boone,Bucher Vineyard,US,Russian River Valley
228,Le Cadeau,Paul Gregutt,Blanc de Noir,US,Oregon
229,Le Cadeau,Paul Gregutt,Diversité,US,Willamette Valley
230,Le Cadeau,Paul Gregutt,Équinoxe,US,Willamette Valley
231,Le Vigne,Matt Kettmann,Di Domenico,US,Paso Robles
232,Paul O'Brien,Paul Gregutt,Bradley Vineyard,US,Umpqua Valley
233,Claiborne & Churchill,Matt Kettmann,Twin Creeks Estate,US,Edna Valley
234,Flying Goat Cellars,Matt Kettmann,Bien Nacido Vineyard,US,Santa Maria Valley
235,Flying Goat Cellars,Matt Kettmann,Solomon Hills Vineyard,US,Santa Maria Valley
236,Abbazia di Novacella,Kerin O’Keefe,Praepositus Passito,Italy,Alto Adige Valle Isa
237,Midsummer Cellars,Virginie Boone,Cañon Creek Vineyard,US,Napa Valley
238,ONX,Matt Kettmann,Reckoning,US,Templeton Gap Distri
239,Les Belles Collines,Virginie Boone,Les Sommets,US,Napa Valley
240,Lutum,Virginie Boone,Gap's Crown Vineyard,US,Sonoma Coast
241,Turiya,Matt Kettmann,Stolpman Vineyard,US,Ballard Canyon
242,Iron Horse,Virginie Boone,Thomas Road,US,Green Valley
243,Brandini,Kerin O’Keefe,Resa 56,Italy,Barolo
244,Artesa,Virginie Boone,Estate Reserve,US,Carneros
245,Carlisle,Virginie Boone,Pagani Ranch,US,Sonoma Valley
246,Clos d'Argentine,Michael Schachner,Winemaker's Selection Reserva,Argentina,Mendoza
247,Mas de Cadenet,Roger Voss,Mas Negrel Cadenet,France,Côtes de Provence Sa
248,Resalte,Michael Schachner,Gran Resalte,Spain,Ribera del Duero
249,Sanctuary,Matt Kettmann,Bien Nacido Vineyard,US,Santa Maria Valley
250,Terre Rouge,Jim Gordon,Enigma,US,Sierra Foothills
251,Limerick Lane,Virginie Boone,Hail Mary,US,Russian River Valley
252,Limerick Lane,Virginie Boone,Headpruned Block,US,Russian River Valley
253,Loring Wine Company,Jim Gordon,Durell Vineyard,US,Sonoma Coast
254,Flying Goat Cellars,Matt Kettmann,Rancho Santa Rosa Vineyard,US,Sta. Rita Hills
255,Four Lanterns,Matt Kettmann,Fire Light,US,Paso Robles
256,Turiya,Matt Kettmann,Shapeshifter,US,Central Coast
257,World's End,Virginie Boone,If Six Was Nine Reserve,US,Napa Valley
258,Benegas,Michael Schachner,Benegas Lynch La Encerrada Estate V,Argentina,Mendoza
259,W.H. Smith,Virginie Boone,Reserve,US,Howell Mountain
260,Alleromb,Sean P. Sullivan,La Reyna Blanca Vineyard,US,Columbia Valley (WA)
261,Ardor,Sean P. Sullivan,Art Den Hoed Vineyard,US,Yakima Valley
262,Château de Campuget,Joe Czerwinski,Tradition,France,Costières de Nîmes
263,Château de Pressac,Roger Voss,Les Terrasses de Pressac,France,Saint-Émilion
264,Chateau Lafayette Reneau,Anna Lee C. Iijima,Pinot Noir,US,Finger Lakes
265,Château Maison Noble Saint Martin,Roger Voss,Château Jean de Bel Air,France,Bordeaux
266,Savage Grace,Sean P. Sullivan,Orange Oak Ridge Vineyard,US,Columbia Gorge (WA)
267,Silvertip,Matt Kettmann,Unfiltered Estate,US,Santa Cruz Mountains
268,Stevens,Sean P. Sullivan,StevensSteel,US,Yakima Valley
269,Kontos,Sean P. Sullivan,Summit View Vineyard,US,Walla Walla Valley (
270,Midnight,Matt Kettmann,Starlight,US,Paso Robles
271,Príncipe de Viana,Michael Schachner,Reserva 1423,Spain,Navarra
272,Proemio,Michael Schachner,Gran Reserve Winemaker's Selection,Argentina,Mendoza
273,Quady North,Sean P. Sullivan,Bomba,US,Rogue Valley
274,Quady North,Sean P. Sullivan,Steel-Ox,US,Rogue Valley
275,Raptor Ridge,Paul Gregutt,Estate,US,Chehalem Mountains
276,Colter's Creek,Sean P. Sullivan,Koos-Koos-Kia Colter's Creek Vineya,US,Idaho
277,Kangarilla Road,Joe Czerwinski,Alluvial Fans,Australia,McLaren Vale
278,Walt,Virginie Boone,Pinpoint Extreme,US,Russian River Valley
279,WillaKenzie Estate,Paul Gregutt,Aliette,US,Willamette Valley
280,Willm,Anne Krebiehl MW,Vendanges Tardives,France,Alsace
281,Jean-Marc Bernhard,Anne Krebiehl MW,Wineck-Schlossberg Grand Cru,France,Alsace
282,Armida,Virginie Boone,Tina's Block Maple Vineyard,US,Dry Creek Valley
283,Marqués de Murrieta,Michael Schachner,Capellanía,Spain,Rioja
284,Torbreck,Joe Czerwinski,The Factor,Australia,Barossa Valley
285,Biecher & Schaal,Anne Krebiehl MW,Altenberg de Bergheim Grand Cru,France,Alsace
286,Domaines Schlumberger,Anne Krebiehl MW,Kitterlé Grand Cru,France,Alsace
287,Domaines Schlumberger,Anne Krebiehl MW,Kessler Grand Cru,France,Alsace
288,Foxen,Matt Kettmann,Tinaquaic Vineyard,US,Santa Maria Valley
289,Niner,Matt Kettmann,Estate Grown,US,Paso Robles
290,Purple Hands,Paul Gregutt,Freedom Hill Vineyard,US,Willamette Valley
291,Stone The Crows,Virginie Boone,Three Twins Vineyard Fallen Feather,US,Napa Valley
292,Kuentz-Bas,Anne Krebiehl MW,Pfersigberg Grand Cru,France,Alsace
293,Sipp Mack,Anne Krebiehl MW,Rosacker Grand Cru,France,Alsace
294,St. Amant,Jim Gordon,Lodi Native Marian's Vineyard,US,Mokelumne River
295,Stoller,Paul Gregutt,Nancy's,US,Dundee Hills
296,Y Rousseau,Virginie Boone,Le Roi Soleil,US,Mount Veeder
297,Palladino,Kerin O’Keefe,Ornato,Italy,Barolo
298,Paradise Ridge,Virginie Boone,Rockpile Vineyard,US,Rockpile
299,Pecchenino,Kerin O’Keefe,Siri d'Jermu,Italy,Dogliani Superiore
300,Poderi Colla,Kerin O’Keefe,Costa Bruna,Italy,Barbera d'Alba
301,Rafael Cambra,Michael Schachner,Soplo,Spain,Valencia
302,Raphael,Anna Lee C. Iijima,Virgin Berry,US,North Fork of Long I
303,Seven Hills,Sean P. Sullivan,McClellan Estate Vineyard,US,Walla Walla Valley (
304,Snoqualmie,Sean P. Sullivan,Eco Made with Organic Grapes,US,Columbia Valley (WA)
305,The Grapes of Roth,Anna Lee C. Iijima,Dry,US,Long Island
306,The Withers Winery,Jim Gordon,Charles Vineyard,US,Anderson Valley
307,Truchard,Virginie Boone,Estate,US,Carneros
308,Array,Sean P. Sullivan,Dijon Clone,US,Yakima Valley
309,Baracchi Riccardo,Kerin O’Keefe,Smeriglio Riserva,Italy,Cortona
310,Baracchi Riccardo,Kerin O’Keefe,Smeriglio,Italy,Cortona
311,Barrister,Sean P. Sullivan,Sagemoor,US,Columbia Valley (WA)
312,Bodegas Berceo,Michael Schachner,Selección Crianza,Spain,Rioja
313,Bunnell,Sean P. Sullivan,ALX,US,Columbia Valley (WA)
314,Castello di Neive,Kerin O’Keefe,Metodo Classico,Italy,Piemonte
315,Castello di Querceto,Kerin O’Keefe,Cignale,Italy,Colli della Toscana 
316,Chateau Ste. Michelle,Sean P. Sullivan,Canoe Ridge Vineyard,US,Horse Heaven Hills
317,Cobb,Virginie Boone,Emmaline Ann Vineyard,US,Sonoma Coast
318,Comm. G. B. Burlotto,Kerin O’Keefe,Acclivi,Italy,Barolo
319,Cooper-Garrod,Matt Kettmann,Gravel Ridge Vineyard,US,Santa Cruz Mountains
320,Mosquito Fleet,Sean P. Sullivan,Reserve 34,US,Red Mountain
321,Nadia,Matt Kettmann,Quattro Santa Barbara Highlands Vin,US,Santa Barbara County
322,Nottingham Cellars,Jim Gordon,Ghielmetti Vineyard Micro-lot Reser,US,Livermore Valley
323,Poggio Argentiera,Kerin O’Keefe,Capatosta,Italy,Morellino di Scansan
324,Ruffino,Kerin O’Keefe,Riserva Ducale Oro Gran Selezione,Italy,Chianti Classico
325,Woodinville Wine Cellars,Sean P. Sullivan,Little Bear Creek,US,Columbia Valley (WA)
326,Château d'Esclans,Roger Voss,Les Clans,France,Côtes de Provence
327,Domaine de la Bastide Blanche,Roger Voss,TwoB,France,Côtes de Provence
328,Domaine du Grand Cros,Roger Voss,L'Esprit de Provence,France,Côtes de Provence
329,Domaine Sainte-Marie,Roger Voss,VieVité Extraordinaire,France,Côtes de Provence
330,Dry Creek Vineyard,Virginie Boone,DCV2 Estate Four Clones Vineyard,US,Dry Creek Valley
331,Dutton Estate,Virginie Boone,Cohen Vineyard Dutton Ranch,US,Russian River Valley
332,Failla,Virginie Boone,Keefer Ranch,US,Russian River Valley
333,Friedeman,Virginie Boone,Dichotomy,US,Russian River Valley
334,Benvenuto de la Serna,Michael Schachner,Trisagio Malbec-Petit Verdot-Tannat,Argentina,Valle de Uco
335,JCB,Roger Voss,No. 5,France,Côtes de Provence
336,Cave de Viré,Roger Voss,Grande Réserve du Président,France,Mâcon-Villages
337,Mont Sec,Alexander Peartree,Mont Sec Vineyards,US,Texas
338,Paolo Manzone,Kerin O’Keefe,Meriame,Italy,Barolo
339,Terrazas de Los Andes,Michael Schachner,Reserva,Argentina,Salta
340,Kiwi Cuvée,Lauren Buzzeo,Bin 068,France,Vin de France
341,Domaine Michel Goubard,Roger Voss,Mont-Avril,France,Côte Chalonnaise
342,El Esteco,Michael Schachner,Don David Reserve,Argentina,Calchaquí Valley
343,Lagarde,Michael Schachner,Henry Legarde,Argentina,Luján de Cuyo
344,Marchesi di Barolo,Kerin O’Keefe,Riserva,Italy,Barolo
345,Pech Merle,Virginie Boone,Treborce Vineyard,US,Dry Creek Valley
346,Punset,Kerin O’Keefe,Campo Quadro Riserva,Italy,Barbaresco
347,Jacob's Creek,Joe Czerwinski,Classic,Australia,South Eastern Austra
348,Casa Larga,Anna Lee C. Iijima,Fiori Delle Stelle Ice Wine,US,Finger Lakes
349,Cave de Beblenheim,Roger Voss,Baron de Hoen,France,Alsace
350,Monte De Oro,Virginie Boone,"Reserve, Vista del Monte Vineyard",US,Temecula Valley
351,Oro de Castilla,Michael Schachner,Solo,Spain,Rueda
352,Pablo del Villar,Michael Schachner,Ipsum,Spain,Rueda
353,G. H. Mumm,Roger Voss,Mumm de Cramant Blanc de Blancs,France,Champagne
354,Jean Milan,Roger Voss,Grande Réserve Blanc de Blancs Gran,France,Champagne
355,Patton Valley,Paul Gregutt,Lorna Marie,US,Willamette Valley
356,Patton Valley,Paul Gregutt,West Block,US,Willamette Valley
357,Pierre Gimonnet et Fils,Roger Voss,Oenophile Premier Cru Blanc de Blan,France,Champagne
358,Adelsheim,Paul Gregutt,Winderlea Vineyard,US,Dundee Hills
