vineyard_id,name,appelation,country,region
97,Mendel,Lunta,Argentina,Luján de Cuyo
98,Silvan Ridge,Reserve,US,Willamette Valley
99,D'Arenberg,The Derelict Vineyard,Australia,McLaren Vale
100,J. & F. Lurton,Herederos de François Lurton Villaf,Spain,Vino de la Tierra de
101,Finca Las Moras,Reserve,Argentina,San Juan
102,Amity,Estate Single Vineyard,US,Willamette Valley
103,Cherry Hill,Papillon Estate,US,Willamette Valley
104,Cueva de las Manos,Reserve,Argentina,Luján de Cuyo
105,Esterlina,Reserva,US,Cole Ranch
106,Vignobles 46N118,Noir 46,France,Cahors
107,Willamette Valley Vineyards,Estate,US,Willamette Valley
108,Beaver Creek,Fairytale,US,Napa Valley
109,Kaiken,Corte Malbec-Bonarda-Petit Verdot,Argentina,Mendoza
110,O. Fournier,B Crux,Argentina,Uco Valley
111,Sottano,Reserva de Familia,Argentina,Mendoza
112,Erath,Bishop Creek,US,Willamette Valley
113,I Giusti e Zanza,Dulcamara,Italy,Toscana
114,J. Christopher,Bella Vida Vineyard Unfiltered,US,Dundee Hills
115,Viña Cobos,Marchiori Vineyard Block C2,Argentina,Perdriel
116,Acústic,Braó Vinyes Velles,Spain,Montsant
117,Domaine Daniel Dugois,Vin Jaune,France,Arbois
118,Kilikanoon,Green's Vineyard,Australia,Barossa Valley
119,Finca Sophenia,Synthesis,Argentina,Tupungato
120,Buried Cane,Whiteline No Oak,US,Columbia Valley (WA)
121,Domaine Bertagna,Les Dames Huguettes,France,Côte de Nuits-Villag
122,Château Mont-Pérat,Les Amants Mont-Pérat,France,Bordeaux Blanc
123,Jacquart,Mosaïque Rosé Brut,France,Champagne
124,Cavas Hill,1887 Rosado,Spain,Cava
125,Antoine Moltès & Fils,Tradition,France,Alsace
126,Pezzi King,Serracino Reserve,US,Dry Creek Valley
127,Chambers Rosewood Vineyards,Rare,Australia,Rutherglen
128,Chambers Rosewood Vineyards,Rare,Australia,Rutherglen
129,Chambers Rosewood Vineyards,Grand,Australia,Rutherglen
130,Torbreck,RunRig,Australia,Barossa
131,Cavallotto,Vignolo Riserva,Italy,Barolo
132,Rochioli,South River,US,Russian River Valley
133,Louis Latour,Le Montrachet,France,Montrachet
134,Rochioli,Sweetwater,US,Russian River Valley
135,Jasper Hill,Georgia's Paddock,Australia,Heathcote
136,Château de la Tour,Vieilles Vignes,France,Clos de Vougeot
137,Philippe Colin,Les Chenevottes Premier Cru,France,Chassagne-Montrachet
138,Torbreck,Descendant,Australia,Barossa Valley
139,Bel Colle,Simposio,Italy,Barolo
140,J. Davies,Jamie,US,Diamond Mountain Dis
141,Winderlea,Weber Vineyard,US,Dundee Hills
142,Wakefield,St. Andrews Single Vineyard Release,Australia,Clare Valley
143,Cantina Terlano,Vorberg,Italy,Alto Adige
144,Elena Walch,Castel Ringberg,Italy,Alto Adige
145,Gini,Classico,Italy,Soave
146,Borgo Conventi,I Fiori del Borgo,Italy,Collio
147,Volpe Pasini,Zuc de Volpe,Italy,"Colli Orientali del "
148,La Vis,Bianco dei Sorni,Italy,Trentino
149,Fratelli Zeni,Vigne Alte,Italy,Bianco di Custoza
150,Tommasi,Vigneto Santa Cecilia,Italy,Valdadige
151,San Michele Eppan,Sanct Valentin,Italy,Alto Adige
152,Kynsi,Paragon Vineyard,US,Edna Valley
153,Cantina Terlano,Terlano Classico,Italy,Alto Adige
154,Conti Formentini,Rylint,Italy,Collio
155,Jacquart,Brut Mosaïque,France,Champagne
156,McGregor,Dry,US,Finger Lakes
157,Guardian,Confidential Source,US,Columbia Valley (WA)
158,Kerloo,Blue Mountain Vineyard,US,Walla Walla Valley (
159,Las Positas,Verdigris,US,California
160,Lieb,Bridge Lane,US,New York
161,Luberri,Seis,Spain,Rioja
162,Macari,Cuvée Gabriella Brut Rosé,US,North Fork of Long I
163,Milbrandt,The Estates Clifton Hill Vineyard,US,Wahluke Slope
164,Ojai,McGinley Vineyard,US,Santa Ynez Valley
165,ONX,Indie,US,Templeton Gap Distri
166,Pomum,Upland Vineyard,US,Snipes Mountain
167,Prospect 772,Stepping Stones,US,Santa Barbara County
168,Revello Fratelli,Rocche dell'Annunziata,Italy,Barolo
169,Tenuta La Marchesa,Gold Label,Italy,Gavi
170,Trione,Henry's Blend,US,Alexander Valley
171,Vinos de Arganza,Século,Spain,Bierzo
172,Vinos de Arganza,Marqués de Montejos Selección,Spain,Vino de la Tierra de
173,Wölffer,Caya,US,Long Island
174,Dunbar,Estate Grown,US,Sonoma Valley
175,Fattorie Romeo del Castello,Vigorosa Rosato,Italy,Etna
176,Gadais Père et Fils,Domaine de la Vieille Cure Sur Lie,France,Muscadet Sèvre et Ma
177,André Brunel,Domaine de la Becassonne,France,Côtes du Rhône
178,Majolini,Pas Dosé Aligi Sassu,Italy,Franciacorta
179,Montaudon,Classe M,France,Champagne
180,Montemercurio,Messaggero,Italy,Vino Nobile di Monte
181,Patrick Javillier,Les Tillets,France,Meursault
182,Philippe Fontaine,Brut Prestige,France,Champagne
183,Pillitteri,Reserve Icewine,Canada,Niagara-On-The-Lake
184,Roederer Estate,Brut,US,Anderson Valley
185,Bellavista,Gran Cuvée Pas Operé,Italy,Franciacorta
186,Chanoine,Tzarina No 1 Brut,France,Champagne
187,Chehalem,Ridgecrest Vineyards,US,Ribbon Ridge
188,Chehalem,Stoller Vineyards,US,Dundee Hills
189,Henri de Villamont,Blagny Premier Cru,France,Meursault
190,Vollereaux,Cuvée Marguerite Brut,France,Champagne
191,Valentina Cubi,Morar,Italy,Amarone della Valpol
192,Deutz,Blanc de Blancs Brut,France,Champagne
193,Domaine Serene,Evenstad Reserve,US,Willamette Valley
194,H. Blin,Édition Limitée Extra Brut,France,Champagne
195,Henri de Villamont,Les Chatelots Premier Cru,France,Chambolle-Musigny
196,Henri de Villamont,Les Feusselottes Premier Cru,France,Chambolle-Musigny
197,Jeaunaux-Robin,Les Grands Nots Millesimé Brut,France,Champagne
198,Dampierre,Grand Cru Family Reserve Brut,France,Champagne
199,Sparkman,Stella Mae,US,Red Mountain
200,V&N; Cellars,Reserva Brut,Spain,Cava
201,Lava Cap,Battonage,US,El Dorado
202,Loess,Collection Blanco,Spain,Rueda
203,MICA Cellars,Babcock Vineyard,US,Suisun Valley
204,Domaine du Grand Cros,L'Esprit de Provence,France,Côtes de Provence
205,El Coto,Rosado,Spain,Rioja
206,Fenestra,Silvaspoons Vineyard,US,Lodi
207,Alain Jaume et Fils,Réserve Grand Veneur,France,Côtes du Rhône
208,Camaraderie,Clifton Vineyard,US,Wahluke Slope
209,Beringer,Quantum,US,Napa Valley
210,Big Basin,Coastview Vineyard,US,Monterey County
211,Boude Baudin,Cuvée St Clément,France,Champagne
212,Boude Baudin,B. Zéro Brut Dosage,France,Champagne
213,Conn Creek,El Adobo Ranch Vineyard,US,Chiles Valley
214,D.R. Stephens,Silver Eagle Vineyard,US,Sonoma Coast
215,Davis Family,Soul Patch Estate Grown,US,Russian River Valley
216,Davis Family,Starr Ridge Vineyard,US,Russian River Valley
217,Domaine Jeannin-Naltet,Le Clos l'Evêque Premier Cru,France,Mercurey
218,Prospect 772,The Brat,US,Calaveras County
219,Qupé,Doux Sawyer Lindquist Vineyard,US,Edna Valley
220,Qupé,Sawyer Lindquist Vineyard,US,Edna Valley
221,Rex Hill,Sims Vineyard,US,Willamette Valley
222,Ruby,Steve's Reserve,US,Chehalem Mountains
223,Structure,Wallula,US,Horse Heaven Hills
224,Testarossa,Rincon Vineyard,US,Arroyo Grande Valley
225,Tumwater,Prince Hill Vineyard Reserve,US,Dundee Hills
226,Jeaunaux-Robin,Brut Zéro Sélection,France,Champagne
227,Joseph Jewell,Bucher Vineyard,US,Russian River Valley
228,Le Cadeau,Blanc de Noir,US,Oregon
229,Le Cadeau,Diversité,US,Willamette Valley
230,Le Cadeau,Équinoxe,US,Willamette Valley
231,Le Vigne,Di Domenico,US,Paso Robles
232,Paul O'Brien,Bradley Vineyard,US,Umpqua Valley
233,Claiborne & Churchill,Twin Creeks Estate,US,Edna Valley
234,Flying Goat Cellars,Bien Nacido Vineyard,US,Santa Maria Valley
235,Flying Goat Cellars,Solomon Hills Vineyard,US,Santa Maria Valley
236,Abbazia di Novacella,Praepositus Passito,Italy,Alto Adige Valle Isa
237,Midsummer Cellars,Cañon Creek Vineyard,US,Napa Valley
238,ONX,Reckoning,US,Templeton Gap Distri
239,Les Belles Collines,Les Sommets,US,Napa Valley
240,Lutum,Gap's Crown Vineyard,US,Sonoma Coast
241,Turiya,Stolpman Vineyard,US,Ballard Canyon
242,Iron Horse,Thomas Road,US,Green Valley
243,Brandini,Resa 56,Italy,Barolo
244,Artesa,Estate Reserve,US,Carneros
245,Carlisle,Pagani Ranch,US,Sonoma Valley
246,Clos d'Argentine,Winemaker's Selection Reserva,Argentina,Mendoza
247,Mas de Cadenet,Mas Negrel Cadenet,France,Côtes de Provence Sa
248,Resalte,Gran Resalte,Spain,Ribera del Duero
249,Sanctuary,Bien Nacido Vineyard,US,Santa Maria Valley
250,Terre Rouge,Enigma,US,Sierra Foothills
251,Limerick Lane,Hail Mary,US,Russian River Valley
252,Limerick Lane,Headpruned Block,US,Russian River Valley
253,Loring Wine Company,Durell Vineyard,US,Sonoma Coast
254,Flying Goat Cellars,Rancho Santa Rosa Vineyard,US,Sta. Rita Hills
255,Four Lanterns,Fire Light,US,Paso Robles
256,Turiya,Shapeshifter,US,Central Coast
257,World's End,If Six Was Nine Reserve,US,Napa Valley
258,Benegas,Benegas Lynch La Encerrada Estate V,Argentina,Mendoza
259,W.H. Smith,Reserve,US,Howell Mountain
260,Alleromb,La Reyna Blanca Vineyard,US,Columbia Valley (WA)
261,Ardor,Art Den Hoed Vineyard,US,Yakima Valley
262,Château de Campuget,Tradition,France,Costières de Nîmes
263,Château de Pressac,Les Terrasses de Pressac,France,Saint-Émilion
264,Chateau Lafayette Reneau,Pinot Noir,US,Finger Lakes
265,Château Maison Noble Saint Martin,Château Jean de Bel Air,France,Bordeaux
266,Savage Grace,Orange Oak Ridge Vineyard,US,Columbia Gorge (WA)
267,Silvertip,Unfiltered Estate,US,Santa Cruz Mountains
268,Stevens,StevensSteel,US,Yakima Valley
269,Kontos,Summit View Vineyard,US,Walla Walla Valley (
270,Midnight,Starlight,US,Paso Robles
271,Príncipe de Viana,Reserva 1423,Spain,Navarra
272,Proemio,Gran Reserve Winemaker's Selection,Argentina,Mendoza
273,Quady North,Bomba,US,Rogue Valley
274,Quady North,Steel-Ox,US,Rogue Valley
275,Raptor Ridge,Estate,US,Chehalem Mountains
276,Colter's Creek,Koos-Koos-Kia Colter's Creek Vineya,US,Idaho
277,Kangarilla Road,Alluvial Fans,Australia,McLaren Vale
278,Walt,Pinpoint Extreme,US,Russian River Valley
279,WillaKenzie Estate,Aliette,US,Willamette Valley
280,Willm,Vendanges Tardives,France,Alsace
281,Jean-Marc Bernhard,Wineck-Schlossberg Grand Cru,France,Alsace
282,Armida,Tina's Block Maple Vineyard,US,Dry Creek Valley
283,Marqués de Murrieta,Capellanía,Spain,Rioja
284,Torbreck,The Factor,Australia,Barossa Valley
285,Biecher & Schaal,Altenberg de Bergheim Grand Cru,France,Alsace
286,Domaines Schlumberger,Kitterlé Grand Cru,France,Alsace
287,Domaines Schlumberger,Kessler Grand Cru,France,Alsace
288,Foxen,Tinaquaic Vineyard,US,Santa Maria Valley
289,Niner,Estate Grown,US,Paso Robles
290,Purple Hands,Freedom Hill Vineyard,US,Willamette Valley
291,Stone The Crows,Three Twins Vineyard Fallen Feather,US,Napa Valley
292,Kuentz-Bas,Pfersigberg Grand Cru,France,Alsace
293,Sipp Mack,Rosacker Grand Cru,France,Alsace
294,St. Amant,Lodi Native Marian's Vineyard,US,Mokelumne River
295,Stoller,Nancy's,US,Dundee Hills
296,Y Rousseau,Le Roi Soleil,US,Mount Veeder
297,Palladino,Ornato,Italy,Barolo
298,Paradise Ridge,Rockpile Vineyard,US,Rockpile
299,Pecchenino,Siri d'Jermu,Italy,Dogliani Superiore
300,Poderi Colla,Costa Bruna,Italy,Barbera d'Alba
301,Rafael Cambra,Soplo,Spain,Valencia
302,Raphael,Virgin Berry,US,North Fork of Long I
303,Seven Hills,McClellan Estate Vineyard,US,Walla Walla Valley (
304,Snoqualmie,Eco Made with Organic Grapes,US,Columbia Valley (WA)
305,The Grapes of Roth,Dry,US,Long Island
306,The Withers Winery,Charles Vineyard,US,Anderson Valley
307,Truchard,Estate,US,Carneros
308,Array,Dijon Clone,US,Yakima Valley
309,Baracchi Riccardo,Smeriglio Riserva,Italy,Cortona
310,Baracchi Riccardo,Smeriglio,Italy,Cortona
311,Barrister,Sagemoor,US,Columbia Valley (WA)
312,Bodegas Berceo,Selección Crianza,Spain,Rioja
313,Bunnell,ALX,US,Columbia Valley (WA)
314,Castello di Neive,Metodo Classico,Italy,Piemonte
315,Castello di Querceto,Cignale,Italy,"Colli della Toscana "
316,Chateau Ste. Michelle,Canoe Ridge Vineyard,US,Horse Heaven Hills
317,Cobb,Emmaline Ann Vineyard,US,Sonoma Coast
318,Comm. G. B. Burlotto,Acclivi,Italy,Barolo
319,Cooper-Garrod,Gravel Ridge Vineyard,US,Santa Cruz Mountains
320,Mosquito Fleet,Reserve 34,US,Red Mountain
321,Nadia,Quattro Santa Barbara Highlands Vin,US,Santa Barbara County
322,Nottingham Cellars,Ghielmetti Vineyard Micro-lot Reser,US,Livermore Valley
323,Poggio Argentiera,Capatosta,Italy,Morellino di Scansan
324,Ruffino,Riserva Ducale Oro Gran Selezione,Italy,Chianti Classico
325,Woodinville Wine Cellars,Little Bear Creek,US,Columbia Valley (WA)
326,Château d'Esclans,Les Clans,France,Côtes de Provence
327,Domaine de la Bastide Blanche,TwoB,France,Côtes de Provence
328,Domaine du Grand Cros,L'Esprit de Provence,France,Côtes de Provence
329,Domaine Sainte-Marie,VieVité Extraordinaire,France,Côtes de Provence
330,Dry Creek Vineyard,DCV2 Estate Four Clones Vineyard,US,Dry Creek Valley
331,Dutton Estate,Cohen Vineyard Dutton Ranch,US,Russian River Valley
332,Failla,Keefer Ranch,US,Russian River Valley
333,Friedeman,Dichotomy,US,Russian River Valley
334,Benvenuto de la Serna,Trisagio Malbec-Petit Verdot-Tannat,Argentina,Valle de Uco
335,JCB,No. 5,France,Côtes de Provence
336,Cave de Viré,Grande Réserve du Président,France,Mâcon-Villages
337,Mont Sec,Mont Sec Vineyards,US,Texas
338,Paolo Manzone,Meriame,Italy,Barolo
339,Terrazas de Los Andes,Reserva,Argentina,Salta
340,Kiwi Cuvée,Bin 068,France,Vin de France
341,Domaine Michel Goubard,Mont-Avril,France,Côte Chalonnaise
342,El Esteco,Don David Reserve,Argentina,Calchaquí Valley
343,Lagarde,Henry Legarde,Argentina,Luján de Cuyo
344,Marchesi di Barolo,Riserva,Italy,Barolo
345,Pech Merle,Treborce Vineyard,US,Dry Creek Valley
346,Punset,Campo Quadro Riserva,Italy,Barbaresco
347,Jacob's Creek,Classic,Australia,South Eastern Austra
348,Casa Larga,Fiori Delle Stelle Ice Wine,US,Finger Lakes
349,Cave de Beblenheim,Baron de Hoen,France,Alsace
350,Monte De Oro,"Reserve, Vista del Monte Vineyard",US,Temecula Valley
351,Oro de Castilla,Solo,Spain,Rueda
352,Pablo del Villar,Ipsum,Spain,Rueda
353,G. H. Mumm,Mumm de Cramant Blanc de Blancs,France,Champagne
354,Jean Milan,Grande Réserve Blanc de Blancs Gran,France,Champagne
355,Patton Valley,Lorna Marie,US,Willamette Valley
356,Patton Valley,West Block,US,Willamette Valley
357,Pierre Gimonnet et Fils,Oenophile Premier Cru Blanc de Blan,France,Champagne
358,Adelsheim,Winderlea Vineyard,US,Dundee Hills
359,Bruno Paillard,Assemblage Brut,France,Champagne
360,St. Supéry,Rutherford Estate Vineyard,US,Rutherford
361,Viña Cobos,Bramare Marchiori Vineyard,Argentina,Perdriel
362,Barnard Griffin,Signature,US,Columbia Valley (WA)
363,Beacon Hill,Chehalem Mountain Vineyard,US,Chehalem Mountains
364,Bernard Magrez,La Sérénité des Grands Chênes,France,Médoc
365,Brian Carter Cellars,Tuttorosso,US,Yakima Valley
366,Château Corbin,Divin de Corbin,France,Saint-Émilion
367,Deerfield Ranch,Tawny Estate,US,Sonoma Valley
368,Domaine Franck Besson,Le Griottier,France,Juliénas
369,Efeste,Upright Klipsun Vineyard,US,Red Mountain
370,Efeste,Lola Evergreen Vineyard,US,Ancient Lakes
371,Iron Hub,Small Lot,US,Sierra Foothills
372,Kooyong,Farrago,Australia,Mornington Peninsula
373,Moncaro,Le Vele,Italy,Verdicchio dei Caste
374,Finca Constancia,Parcela 23,Spain,Vino de la Tierra de
375,Donkey & Goat,Perli Vineyards,US,Mendocino Ridge
376,Torbreck,Cuvee Juveniles,Australia,Barossa Valley
377,Finn Hill,Soleil,US,Wahluke Slope
378,Keuka Spring,Pre-Emption Vineyard,US,Finger Lakes
379,Les Vins Aujoux,Belle Grâce,France,Beaujolais-Villages
380,Navardia,Made With Organic Grapes,Spain,Rioja
381,Pata Negra,Brut,Spain,Cava
382,Tenuta San Giorgio,Ciampoleto,Italy,Rosso di Montalcino
383,Clos Troteligotte,K-libre,France,Côtes du Lot
384,Domaine du Haut-Poncié,Roche Grès,France,Moulin-à-Vent
385,Domaine du Vissoux,Coeur de Vendanges,France,Beaujolais
386,Georges Duboeuf,Flower Label,France,Beaujolais
387,Juvé y Camps,Cinta Púrpura Brut Reserva,Spain,Cava
388,Juvé y Camps,Sweet Reserva,Spain,Cava
389,Kontos,Les Collines Vineyard,US,Walla Walla Valley (
390,Lamoreaux Landing,Yellow Dog Vineyard,US,Finger Lakes
391,Maryhill,Proprietor's Reserve,US,Columbia Valley (WA)
392,Cottanera,Bianco,Italy,Etna
393,CVA Canicattì,Aquilae Bio,Italy,Terre Siciliane
394,Domaine Barmès-Buecher,Rosenberg,France,Alsace
395,Domaine Bott-Geyl,Galets Oligocène,France,Alsace
396,Domaine Collotte,Clos de Jeu,France,Marsannay
397,Domaine Jacques Prieur,Grèves Premier Cru,France,Beaune
398,Domaine René Bouvier,Champ Salomon,France,Marsannay
399,Domaine Roland Schmitt,Grand A du Petit Léon,France,Alsace
400,Edna Valley Vineyard,Reserve,US,Edna Valley
401,Fattoria La Rivolta,Taburno,Italy,Sannio
402,Gershon Bachus,Erato De Portola Trail Vineyard,US,Temecula Valley
403,Graci,Rosso,Italy,Etna
404,West of Temperance,Rio Vista Vineyard,US,Sta. Rita Hills
405,Baglio del Cristo di Campobello,Laluci,Italy,Sicilia
406,Beresford,Handpicked Grenache,Australia,McLaren Vale
407,Carabella,Estate,US,Chehalem Mountains
408,Casa Dumetz,Larner,US,Ballard Canyon
409,Greenwood Ridge,Estate Bottled,US,Mendocino Ridge
410,Vall Llach,Idus,Spain,Priorat
411,Fuentes,Coraje,Spain,Priorat
412,Loup Blanc,La Mère Grand,France,Minervois
413,Owen Roe,Slide Mountain Vineyard,US,Yakima Valley
414,Bergevin Lane,Stone Tree Vineyard Intuition Reser,US,Columbia Valley (WA)
415,Hungerford Hill,Heavy Metal,Australia,South Eastern Austra
416,Leonesse Cellars,Signature Selection,US,Temecula Valley
417,Market Vineyards,Dividend,US,Columbia Valley (WA)
418,Morlanda,Criança,Spain,Priorat
419,Becker,Reserve Bingham Vineyard,US,Texas High Plains
420,Boffa,Pajè,Italy,Barbaresco
421,Brennan,Super Nero,US,Texas
422,Brennan,Reddy Vineyard,US,Texas High Plains
423,Antucura,Grand Vin,Argentina,Vista Flores
424,Frédéric Brouca,Samsó Seulle,France,Vin de France
425,Fullerton,Three Otters Pinot Noir,US,Willamette Valley
426,Graffigna,Grand Reserve,Argentina,San Juan
427,Coelho,Atração,US,Willamette Valley
428,Coelho,Renovação Estate Vineyards,US,Willamette Valley
429,Deltetto,Bussia,Italy,Barolo
430,Diego Conterno,Ginestra,Italy,Barolo
431,Domaine Bousquet,Reserve,Argentina,Tupungato
432,Evans & Tate,Breathing Space,Australia,Australia
433,Finca Sophenia,Altosur,Argentina,Tupungato
434,Terre Rouge,Vin Doux Naturel,US,Shenandoah Valley (C
435,Antonio Mas,Roll Fermentor,Argentina,Tupungato
436,Bella Grace,Estate,US,Amador County
437,Bodega Calle,Alberti 154,Argentina,Mendoza
438,Château les Petits Arnauds,Tradition,France,Blaye Côtes de Borde
439,Château Saintongey,Vieilles Vignes,France,Bordeaux
440,Château Ségonzac,Vieilles Vignes,France,Blaye Côtes de Borde
441,Chehalem,Ian's Reserve,US,Willamette Valley
442,Chehalem,Stoller Vineyards,US,Dundee Hills
443,Covila,II Crianza,Spain,Rioja
444,Cuda Ridge Wines,Melange d'Amis Reserve,US,Livermore Valley
445,Duménil,Grande Réserve Premier Cru Brut,France,Champagne
446,Ego Bodegas,Goru Verde,Spain,Jumilla
447,Finca del Marquesado,Crianza,Spain,Rioja
448,Folin Cellars,Estate,US,Rogue Valley
449,Francis Coppola,Director's,US,Sonoma County
450,Frank Family,Reserve Winston Hill Vineyard,US,Rutherford
451,Yorkville Cellars,Rennie Vineyard Organic Grapes,US,Yorkville Highlands
452,Agustí Torelló Mata,XIC,Spain,Penedès
453,Amalie Robert,i,US,Willamette Valley
454,Archgate Cellars,Reserve Bottling,US,Lodi
455,Bersano,Nirvasco,Italy,Barolo
456,Cantine di Marzo,Anni Venti Metodo Classico,Italy,Greco di Tufo
457,Carica,Ritchie Vineyard,US,Russian River Valley
458,Ignacio Marín,Wine Wings Garnacha,Spain,Cariñena
459,Jacquart,Brut Mosaïque,France,Champagne
460,Vranken,Demoiselle Tête de Cuvée Brut,France,Champagne
461,Pommery,Pop Rosé Extra Dry,France,Champagne
462,Covington,Rough House Red,US,Walla Walla Valley (
463,Château Lamothe-Vincent,Sauvignon,France,Bordeaux Blanc
464,Yvon Mau,Premius Bordeaux Sauvignon,France,Bordeaux Blanc
465,Pascual Toso,Reserve Las Barrancas Vineyards,Argentina,Mendoza
466,Domaine de Mirail,Les Mirlandes,France,Vin de Pays des Côte
467,Domaine des Terrisses,Grande Tradition,France,Gaillac
468,Fournier Père et Fils,Les Belles Vignes,France,Sancerre
