,wine_id,name
144,145,Grilled lamb chops
145,146,Grilled lamb chops
146,147,Grilled lamb chops
147,148,Grilled salmon with citrus
148,149,Grilled salmon
149,150,Oysters on the half shell
150,151,Grilled shrimp tacos
151,152,Grilled salmon
152,153,Grilled white fish
153,154,Blue cheese platter
154,155,Grilled lamb chops
155,156,Spicy Thai Curry
156,157,Grilled lemon herb chicken
157,158,Seared scallops
158,159,Grilled lamb chops
159,160,Grilled lamb chops
160,161,Grilled salmon salad
161,162,Dark chocolate truffles
162,163,Blue cheese profile
163,164,Dark chocolate truffles
164,165,Dark chocolate truffles
165,166,Spiced pear tart
166,167,Blue cheese tart
167,168,Blue cheese and figs
168,169,Blue cheese dessert
169,170,Blue cheese pairing
170,171,Oysters on the half shell
171,172,Cheddar cheese platter
172,173,Duck confit
173,174,Lobster with lemon butter
174,175,Grilled lamb chops
175,176,Grilled lamb chops
176,177,Filet mignon
177,178,Mushroom risotto
178,179,Roasted duck
179,180,Grilled lamb chops
180,181,Grilled ribeye steak
181,182,Grilled lamb chops
182,183,Roasted duck breast
183,184,Grilled scallops
184,185,Roasted lamb
185,186,Grilled bratwurst sandwich
186,187,Charcuterie board
187,188,Grilled salmon with herbs
188,189,Grilled salmon asparagus salad
189,190,Grilled ribeye steak
190,191,Grilled lamb chops
191,192,Lobster bisque
192,193,Duck confit
193,194,Duck confit
194,195,Roasted duck breast
195,196,Grilled lamb chops
196,197,Grilled ribeye steak
197,198,Grilled steak
198,199,Grilled salmon
199,200,Duck confit
200,201,Duck confit salad
201,202,Roasted apricot tart
202,203,Grilled lamb chops
203,204,Lobster risotto
204,205,Duck confit
205,206,Mushroom risotto
206,207,Oysters on the half shell
207,208,Lobster risotto
208,209,Duck confit
209,210,Grilled lamb chops
210,211,Grilled ribeye steak
211,212,Grilled lemon herb chicken
212,213,Grilled lamb chops
213,214,Grilled salmon
214,215,Grilled lamb chops
215,216,Duck confit
216,217,Grilled lamb chops
217,218,Roasted chicken lemon herb
218,219,Duck confit
219,220,Herb crusted lamb
220,221,Grilled lamb chops
221,222,Grilled lamb chops
222,223,Grilled ribeye steak
223,224,Lobster risotto
224,225,Lobster in butter sauce
225,226,Grilled sea bass
226,227,Grilled lamb kabobs
227,228,Roasted Mushrooms
228,229,Grilled salmon salad
229,230,Roasted chicken with herbs
230,231,Spicy Thai Curry
231,232,Spiced Thai curry
232,233,Grilled Scallops
233,234,Grilled steak
234,235,Grilled lamb chops
235,236,Grilled lamb chops
236,237,Mushroom risotto
237,238,Grilled lamb chops
238,239,Mushroom risotto
239,240,Grilled lamb chops
240,241,Oysters on the half shell
241,242,Asparagus risotto
242,243,Asparagus risotto
243,244,Duck confit
